Ranking:	Tweet:	Score:
0	-8037125131728805462 YES WE DID! More than 81 MILLION of us elected Joe Biden President of the United States and Kamala Harris Vice President	0.8452
1	Vice President-elect Kamala Harris has chosen Tina Flournoy, a longtime aide to President Bill Clinton, to be her c… https://t.co/5mSqmnBGCV	0.7559
2	Why would President Biden and Madam Vice president Kamala Harris publicly tell the Justice department to go after D… https://t.co/U8W3qkd5Mq	0.7559
3	Vice President Kamala Harris. get used to saying it, racists	0.7559
4	Vice president-elect Kamala Harris' husband, Doug Emhoff, will be the first man to serve as the spouse of the Vice… https://t.co/qWO1tLgPqL	0.7559
5	President-elect Joe Biden and Vice President-elect Kamala Harris talk with -4459517722225141532 in their first joint intervi… https://t.co/bi6Dafl5K0	0.7559
6	For the first time, the top three positions in the office of the U.S. vice president will be held by women—all serv… https://t.co/VQyrLc0TOo	0.7559
7	Next step in evil plan... first he told us about the voter fraud that was going to happen, now Kamala will be presi… https://t.co/1bjTwHDhRM	0.6547
8	President-Elect Joe Biden &amp; Vice President-Elect Kamala Harris: Restore Faith in our Rule of Law! - Sign the Petiti… https://t.co/4Nx6r3y6LX	0.6547
9	Joe Biden was nothing more than a Trojan horse for Kamala Harris. He never really intended to be president. At most… https://t.co/fuLRY5UhC4	0.6547
10	-4196829348835605523 Trump was THE FIRST u.s. President that NEVER GOT THOROUGHLY VETTED for the process of a presidential can… https://t.co/0k7qDn1dsr	0.6547
11	-3677266051800447821 8585072035351922186 Thank God you won Mr. President Biden and Vice President Harris! 🙏🏻❤️👏🏻👍🏻🇺🇸 Anything on a s… https://t.co/80ojtlbD4S	0.6547
12	The first week of December is almost over and Kamala Harris has not yet vacated her highly contested Senate Seat! ...she knows.	0.6547
13	-4462834182438836862 NO joke! Joe is a beard. #ClintonMafia wanted Kamala Harris w/her history of selling us out for the $… https://t.co/TBAgoRzvof	0.6547
14	On January 20, 2021 Joe Biden will be your President of the United States Kamala Harris will be your Madam Vice… https://t.co/WoT65KetEK	0.6547
15	Joe Biden Tells CNN That He May ‘Develop Some Disease and Say I Have to Resign’ to Give Presidency to Kamala Harris https://t.co/ZJPcbPGaLr	0.6547
16	-8037125131728805462 I have a simple question for Mr. President Trump. Are you really ready to give Kamala Harris your… https://t.co/PS1W4lJXrE	0.6547
17	Biden: There not a single a decision I’ve made yet... that I haven’t discussed with Kamala first. Harris: That’s t… https://t.co/tEgLUyTsnr	0.6547
18	Pedo child sniffer Biden and skanky take a knee Harris will NEVER be my president and Vice President!!! The people… https://t.co/kZr59MyOdJ	0.6547
19	I don’t want to hear or read #BlueMAGA - I want to read President Biden and Vice President Harris. Keep it classy,… https://t.co/c8OrCR2ssC	0.6547
