Ranking:	Tweet:	Score:
0	3748255062612961029 -4787520274363717205 You know, Elephants are really smart and compassionate. I think GOP should choose anot… https://t.co/VZpPgMnkWy	0.8165
1	-8483076359113389641 5006874107986988151 What are the GOP priorities today? That’s what I want to hear. I’m sick of hearing about… https://t.co/OMJKcwvfy2	0.5774
2	I’m normally critical of GOP members who have no spine. However, in this age of ballot fraud, I’m am singularly t… https://t.co/0dGCxS4lbm	0.5774
3	2866854724798740162 No.......it's Time for YOU to delete your GOP membership. The MAJORITY of American citizens and the… https://t.co/JmOkGmt020	0.5774
4	2418242685589883987 Trump is the snake who convinced the GOP to take a bite of the poisoned apple.	0.5774
5	-4048072705758836989 2390320848261790800 Yes,the GOP are RUTHLESS!The Democrats are there for a purpose but they are TOO NICE!They need to get louder and tougher.	0.5774
6	-7071160451359590695 Tucker Carlson: GOP Trying to Pack Foreigners into U.S. Jobs with 18M Jobless https://t.co/lR7VEJW6Ml via 1951027057434834082	0.5774
7	4471252880683574351 -3815806503450777941 No Trump No GOP! Let them earn their vote and demand voter integrity &amp; SPECIAL SESSION! Tha… https://t.co/YhbKdmh6Yc	0.5774
8	GOP workin OT to give us problematic government 5484039450032490379 entire terrapin life.	0.5774
9	Georgia Gov. Kemp claims GOP secretary of state has yet to order signature audit https://t.co/qq2JhbU3ui	0.5774
10	5560566465560855980 Glad you listen to the people, Lindsey! If the election fraud is not fixed in 2020 and GOP does no… https://t.co/85YqLPI4y7	0.5774
11	Trump's mob takes aim at GOP, Fox News by -396602642545935386 https://t.co/dxd05dC2Xi #Trump #MSM #Election2020results… https://t.co/AIGK6edwYB	0.5774
12	GOP lawmakers ask SCOTUS to block final certification of PA votes count https://t.co/Mx2gUjOpn5 #FoxNews	0.5774
13	8924844386101710285 5360567673355652515 -3377487798431445056 The GOP is too busy focusing on helping the soon to be ex-President spread mis… https://t.co/CnNfdoKEXd	0.5774
14	Corrupt GOP Senators and GOVs Don't send money to GOP Don't Vote for any GOP #Wisconsin #Michigan #Pennsylvania… https://t.co/6jGZ1ARZg0	0.5774
15	6901708304921065858 -4705437832714620084 -4225497618513464964 Also, ignoring a order from the SCOTUS to immediately allow access to GOP poll… https://t.co/eemc4utonc	0.5774
16	1095619569204917732 1889898132415048221 Hahaha GOP is crumbling what a disaster	0.5774
17	I don't care if it's at State or Federal levels: The GOP isn't worth the scum on unbrushed teeth! I remember in 201… https://t.co/9VDcln0zWd	0.5774
18	-8263975438913792685 6716474017802423221 6963932319630707511 There is room for mismanagement. This why GOP candidates often get in trouble:… https://t.co/2KTiXvamBm	0.5774
19	-3833259524214607054 -529758824959968233 -8805889390437676000 -6985771083961637900 -2585726634252659740 And in fact people kicked out the GOP at the last ele… https://t.co/YyU6mOHiu3	0.5774
