Ranking:	Tweet:	Score:
0	Thank you Kanye, very cool! https://t.co/vRIC87M21X	1.0
1	8834245806723436956 There isn’t going to be a President Biden, thank God.	1.0
2	thank God! A Professional Medical Advisor, advising the president-elect...let heaven and earth rejoice	1.0
3	-3828383097920444124 -4856818634584665812 4834010157970821372 Thanks for sharing, it was an interesting read. Not surprising that these doctors… https://t.co/K5ooGnqKaf	1.0
4	We, the people of Georgia believe you Lin Wood! Thank you for defending “The People’s Choice”! Patriots support P… https://t.co/5R7ISKXkhH	1.0
5	8702766967030657422 Shame on you,our party is now all inclusive thanks to President Trump,and when he leaves office not o… https://t.co/yBXzNeOnNy	1.0
6	6470997682645108004 -8037125131728805462 Yes! Thank you President Trump for your comprehensive health care reform plan, bein… https://t.co/ghopZopEIx	1.0
7	Thanks to -3172663523008117228 we can see that the only house Dems to underperform Biden were Nadler, AOC and Maloney.… https://t.co/aZO9hJF8Fh	1.0
8	Thank you, .@tedlieu and .@RepKathleenRice - no one is above the law. #JusticeMatters and #JusticeIsComing	1.0
9	-4314265888897560373 NO THANKS TO TRUMP	1.0
10	no thank you	1.0
11	-8037125131728805462 Thank you Patriotic POTUS Trump, for always putting America &amp; America’s Citizens first.	1.0
12	Yes! This is how you stop the #TrumpDeathMarch! Thank you, Dr. Fauci!	1.0
13	4397777903119841348 Thank -8037125131728805462 for the help. Trump vaccinations	1.0
14	-3677266051800447821 8585072035351922186 Thanks to President Trump.	1.0
15	3748294596325685490 -4907914322353150218 You can thank Nancy Pelosi because without her approval she won’t give the people anyth… https://t.co/67p0rNxGQC	1.0
16	2422360094927328966 😂😂😂 thanks magat https://t.co/jFhnLomieI	1.0
17	Rudy and the team are making one hell of a case to their American people. We’re watching Rudy! Keep it up! Thank yo… https://t.co/abMGxmvYHb	1.0
18	#StopTheSteal Thank you Rudy!	1.0
19	Thank you President Trump.	1.0
